name,extId,x,y,category,puic,prodclass,x_real,y2,join_id,join_name,isInAustria
Wien Messe-Prater (U2),6840,0,0,0,0,0,16.406213,48.217896,0,0,1
Wien Karlsplatz (U2),6832,0,0,0,0,0,16.369366,48.200663,0,0,1
Wien Museumsquartier (U2),6833,0,0,0,0,0,16.36141,48.202605,0,0,1
Wien Krieau (U2),6841,0,0,0,0,0,16.413763,48.214668,0,0,1
Wien Volkstheater (U2),6834,0,0,0,0,0,16.35803,48.205104,0,0,1
Wien Donauspital (U2),6847,0,0,0,0,0,16.465514,48.219621,0,0,1
Wien Rathaus (U2),6835,0,0,0,0,0,16.355361,48.210255,0,0,1
Wien Stadion (U2),6842,0,0,0,0,0,16.421,48.210309,0,0,1
Wien Schottentor (U2),6836,0,0,0,0,0,16.362102,48.214201,0,0,1
Wien Schottenring (U2),6837,0,0,0,0,0,16.37128,48.217104,0,0,1
Wien Taborstraße (U2),6838,0,0,0,0,0,16.380737,48.219028,0,0,1
Wien Donaumarina (U2),6843,0,0,0,0,0,16.431203,48.206066,0,0,1
Wien Praterstern Bf (U2),6839,0,0,0,0,0,16.392153,48.219082,0,0,1
Wien Seestadt (U2),6851,0,0,0,0,0,16.508402,48.226273,0,0,1
Wien Aspernstraße (U2),6848,0,0,0,0,0,16.474962,48.222004,0,0,1
Wien Donaustadtbrücke (U2),6844,0,0,0,0,0,16.440587,48.21208,0,0,1
Wien Stadlau Bahnhst (U2),6845,0,0,0,0,0,16.448947,48.219747,0,0,1
Wien Hardeggasse (U2),6846,0,0,0,0,0,16.458233,48.221168,0,0,1
Wien Hausfeldstraße (U2),6849,0,0,0,0,0,16.486612,48.233708,0,0,1
Wien Aspern Nord Bf (U2),6850,0,0,0,0,0,16.504393,48.234651,0,0,1
Wien Brünner Straße Bahnhst (Nr. 63-65/70),7976,0,0,0,0,0,16.403588,48.267786,0,0,1
Wien Brünner Straße/Carabelligasse,7977,0,0,0,0,0,16.410869,48.280236,0,0,1
Wien Stammersdorf (Bundesstraße 7),7978,0,0,0,0,0,16.410716,48.301891,0,0,1
Wien Rendezvousberg,7979,0,0,0,0,0,16.426798,48.30821,0,0,1
Föhrenhain Volkertgasse,7980,0,0,0,0,0,16.438574,48.318584,0,0,1
Wien Floridsdorf Bf (Franz-Jonas-Platz),7974,0,0,0,0,0,16.400352,48.256828,0,0,1
Wien Angerer Straße,7975,0,0,0,0,0,16.399192,48.260172,0,0,1
Föhrenhain Ernst-Theumer-Straße,7981,0,0,0,0,0,16.444587,48.323402,0,0,1
Wien Großjedlersdorf (Edergasse),8014,0,0,0,0,0,16.388135,48.277206,0,0,1
Wien Floridsdorfer Markt (Brünner Straße),8015,0,0,0,0,0,16.400019,48.261646,0,0,1
Wien Floridsdorf Bf (Rechte Nordbahngasse),8016,0,0,0,0,0,16.394922,48.262015,0,0,1
Wien Ödenburger Straße/Schulzentrum,8227,0,0,0,0,0,16.401682,48.28198,0,0,1
Wien Bahnsteggasse,8235,0,0,0,0,0,16.401907,48.264765,0,0,1
Wien Quartier Belvedere Bahnhst,8689,0,0,0,0,0,16.381807,48.188033,0,0,1
Wien Hbf (Bahnsteige 1-2),8690,0,0,0,0,0,16.375326,48.185507,0,0,1
Wien Matzleinsdorfer Platz (ÖBB),8691,0,0,0,0,0,16.358723,48.180195,0,0,1
Wien Floridsdorf Bahnhof,8683,0,0,0,0,0,16.400352,48.256828,0,0,1
Wien Handelskai (Bahnsteige 1-2),8684,0,0,0,0,0,16.384908,48.241753,0,0,1
Wien Liesing Bahnhof,8692,0,0,0,0,0,16.283042,48.134997,0,0,1
Wien Traisengasse Bahnhof,8685,0,0,0,0,0,16.38338,48.234786,0,0,1
Wien Praterstern Bahnhof,8686,0,0,0,0,0,16.392153,48.219082,0,0,1
Wien Mitte-Landstraße Bahnhof,8687,0,0,0,0,0,16.38489,48.206093,0,0,1
Mödling Bahnhof,8693,0,0,0,0,0,16.331926,48.174433,0,0,1
Wien Rennweg Bahnhof,8688,0,0,0,0,0,16.38623,48.19491,0,0,1
Wien Jedlersdorf Bahnhof,8733,0,0,0,0,0,16.397313,48.273188,0,0,1
Langenzersdorf Bahnhof,8732,0,0,0,0,0,16.355522,48.306763,0,0,1
Wien Atzgersdorf Bahnhof,8753,0,0,0,0,0,16.288831,48.147348,0,0,1
Wien Brünner Straße Bahnhof,8751,0,0,0,0,0,16.403588,48.267786,0,0,1
Wien Hetzendorf Bahnhof,8752,0,0,0,0,0,16.313732,48.165749,0,0,1
Wien Burgring (Ringfahrbahn),10826,0,0,0,0,0,16.363604,48.203872,0,0,1
Simmering (Wien) Hauptwerkstätte,10818,0,0,0,0,0,16.457667,48.149901,0,0,1
Wien Rathausplatz/Burgtheater,10823,0,0,0,0,0,16.360673,48.210533,0,0,1
Wien Börse (Wipplingerstraße 39),10821,0,0,0,0,0,16.365437,48.215298,0,0,1
Wien Schottentor (Schottenring),10822,0,0,0,0,0,16.362102,48.214201,0,0,1
Wien Dr.-K.-Renner-Ring/Volkstheater (Ring),10825,0,0,0,0,0,16.359918,48.206722,0,0,1
Wien Parlament (Außenring),10824,0,0,0,0,0,16.360116,48.208655,0,0,1
Wien Oper (Opernring/Steig D),10827,0,0,0,0,0,16.369635,48.202353,0,0,1
Wien Schwarzenbergplatz (Mitte),10828,0,0,0,0,0,16.374597,48.201005,0,0,1
Wien Am Heumarkt,10829,0,0,0,0,0,16.377052,48.198506,0,0,1
Wien Unteres Belvedere,10830,0,0,0,0,0,16.380018,48.197175,0,0,1
Wien Rennweg Bahnhst (Fasanplatz),10831,0,0,0,0,0,16.38623,48.19491,0,0,1
Wien Kleistgasse,10832,0,0,0,0,0,16.390257,48.193661,0,0,1
Wien Hauptwerkstätte (Hallenvorplatz),10820,0,0,0,0,0,16.457667,48.149901,0,0,1
Wien Am Himmelreich,10868,0,0,0,0,0,16.437846,48.163978,0,0,1
Wien Oberzellergasse,10833,0,0,0,0,0,16.394922,48.191908,0,0,1
Wien Zentralfriedhof 4.Tor (Straßenbahn),10847,0,0,0,0,0,16.453289,48.151537,0,0,1
Wien St.Marx Bahnhst (Rennweg),10834,0,0,0,0,0,16.399507,48.188564,0,0,1
Wien Litfaßstraße (Straßenbahn),10835,0,0,0,0,0,16.405035,48.184321,0,0,1
Schwechat Brauerei,10856,0,0,0,0,0,16.469182,48.145344,0,0,1
Wien Molitorgasse (Straßenbahn),10836,0,0,0,0,0,16.408028,48.181822,0,0,1
Wien Enkplatz (Simmeringer Hauptstr. 100),10848,0,0,0,0,0,16.461406,48.148427,0,0,1
Wien Zippererstraße (Straßenbahn),10837,0,0,0,0,0,16.411417,48.179664,0,0,1
Wien Hauffgasse (Straßenbahn),10838,0,0,0,0,0,16.412793,48.177732,0,0,1
Wien Enkplatz (Simmeringer Hauptstr. 94),10839,0,0,0,0,0,16.461406,48.148427,0,0,1
Wien Oper (Kärntner Ring/Steig B),10849,0,0,0,0,0,16.359918,48.206722,0,0,1
Wien Braunhubergasse,10840,0,0,0,0,0,16.418735,48.171781,0,0,1
Wien Simmering Bahnhof (Straßenbahn),10841,0,0,0,0,0,16.419687,48.170226,0,0,1
Wien Fickeysstraße (Straßenbahn),10842,0,0,0,0,0,16.423777,48.167035,0,0,1
Wien Parlament (Innenring),10850,0,0,0,0,0,16.360116,48.208655,0,0,1
Wien Weißenböckstraße (Straßenbahn),10843,0,0,0,0,0,16.42856,48.161983,0,0,1
Wien Zentralfriedhof 1.Tor (Straßenbahn),10844,0,0,0,0,0,16.433333,48.159133,0,0,1
Schwechat Plankenwehrstraße,10857,0,0,0,0,0,16.474746,48.141829,0,0,1
Wien Zentralfriedhof 2.Tor (Johann-Hatzl-Platz),10845,0,0,0,0,0,16.44181,48.154746,0,0,1
Wien Börse (Schottenring),10851,0,0,0,0,0,16.37128,48.217104,0,0,1
Wien Zentralfriedhof 3.Tor (Straßenbahn),10846,0,0,0,0,0,16.448462,48.152463,0,0,1
Wien Hauptwerkstätte (Betriebseinfahrt),10819,0,0,0,0,0,16.457667,48.149901,0,0,1
Wien Zentralfriedhof 3.Tor (Autobusschleife),10852,0,0,0,0,0,16.448462,48.152463,0,0,1
Wien Zentralfriedhof 4.Tor (Simmeringer Hauptstr.),10853,0,0,0,0,0,16.453289,48.151537,0,0,1
Wien Leberweg,10854,0,0,0,0,0,16.455806,48.150638,0,0,1
Wien Etrichstraße/Simmeringer Hauptstraße,10855,0,0,0,0,0,16.461406,48.148427,0,0,1
Wien Weißenböckstraße (Simmeringer Hauptstr. 251),10866,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Enkplatz (Simmeringer Hauptstraße 111-113),10863,0,0,0,0,0,16.461406,48.148427,0,0,1
Wien Simmering Bf (Simmeringer Hauptstr. 157-159),10864,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Fickeysstraße (Simmeringer Hauptstraße 195),10865,0,0,0,0,0,16.415058,48.17437,0,0,1
Wien Florian-Hedorfer-Straße,10867,0,0,0,0,0,16.431248,48.16556,0,0,1
Wien Schloss Neugebäude (Kaiserebersdorfer Straße),10870,0,0,0,0,0,16.457496,48.160248,0,0,1
Wien Hörtengasse,10869,0,0,0,0,0,16.444444,48.162405,0,0,1
Wien Luzegasse (Kaiserebersdorfer Straße),10871,0,0,0,0,0,16.457496,48.160248,0,0,1
Wien Klebindergraben,10872,0,0,0,0,0,16.454368,48.160427,0,0,1
Wien Pantucekgasse/Kaiserebersdorfer Straße,10873,0,0,0,0,0,16.457496,48.160248,0,0,1
Wien Halterlacken,10874,0,0,0,0,0,16.461379,48.160113,0,0,1
Wien Mühlsangergasse,10875,0,0,0,0,0,16.465514,48.15996,0,0,1
Wien Kaiserebersdorf Zinnerg. (Kaiserebersd. Str.),10876,0,0,0,0,0,16.470728,48.160023,0,0,1
Wien Schwarzenbergplatz (Rennweg),10890,0,0,0,0,0,16.374597,48.201005,0,0,1
Wien Valiergasse/Etrichstraße (Hauptfahrbahn),10877,0,0,0,0,0,16.468948,48.157128,0,0,1
Wien Svetelskystraße (Etrichstraße/Hauptfahrbahn),10878,0,0,0,0,0,16.46626,48.154036,0,0,1
Wien Wopenkastraße,10879,0,0,0,0,0,16.463474,48.150863,0,0,1
Wien Oper (Opernring/Nachtbus),10891,0,0,0,0,0,16.369635,48.202353,0,0,1
Wien Roschégasse,10880,0,0,0,0,0,16.450475,48.154216,0,0,1
Wien Widholzgasse/Thürnlhofstraße,10881,0,0,0,0,0,16.451806,48.156346,0,0,1
Wien Kaiserebersdorfer Friedhof (Thürnlhofstraße),10882,0,0,0,0,0,16.453604,48.158558,0,0,1
Wien Schwarzenbergplatz (Lothringerstraße 2-4),10892,0,0,0,0,0,16.374597,48.201005,0,0,1
Wien Kaiserebersdorfer Friedhof (Meidlgasse),10883,0,0,0,0,0,16.453604,48.158558,0,0,1
Wien Luzegasse (Meidlgasse),10884,0,0,0,0,0,16.45132,48.159942,0,0,1
